"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"HE","https://fr.trustpilot.com/users/516da7530000640001382bd1","Helene","16 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","29 mars 2019","https://fr.trustpilot.com/reviews/5c9e21eca843690a5402641e","Lamentable","Lamentable : commande d'un canapé à 2300 euros qui est livré emballé mais au deballage un des supports du pied etait cassé et pour qu'il ne soit pas perdu, ceux qui ont emballé l'on glissé entre les sangles du sommier. donc canapé expedié sachant qu'il etait defectueux - ensuite il a fallu monter les pieces et une des pieces n'entrait pas dans son rail - et pour cause au pré montage il a eté monté à l'envers. il a fallu un moment pour se rendre compte que l'infime differente invisible à l'oeil nu venait d'un mauvais pre montage. appel au SAV : on ne peut pas vous livrer une piece en SAV - on vous propose 60 euros de dedommagement et pour le mauvais montage je vais me faire voir avec ma reclamation ! apres plusieurs reclamations on devrait m'envoyer la piece à changer mais zero effort du service client en dedommagement du prejudice - pour un canapé à tout de meme 2300 euros ! ils sont lamentables ! qu'ils coulent c'est tout ce qu'ils meritent car on ne veut plus passer de commande - ce n'est pas la premiere fois... c'est regulier les problemes avec eux..","29 mars 2019","Date de l'expérience:","Utile","Partager","1"
"","https://fr.trustpilot.com/users/5c9cf6bb54d7e49134fbb565","Chloé Pras","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","28 mars 2019","https://fr.trustpilot.com/reviews/5c9cf6c6a843690a5401f7cb","La Redoute ou comment te faire arnaquer…","La Redoute ou comment te faire arnaquer ! Je commande mon canapé le 2 février , suite à cela on me dit « livraison entre le 16 et le 19 mars ». Pas de soucis, j’attends ! Le 20 mars, pas de nouvelles de mon canapé mais bien débité sur mon compte ! Ce matin j’appelle le service client car toujours pas de nouvelles pour qu’on me dise que mon canapé n’arrivera pas et qu’on me remboursera pas avant 3 semaines ... Non mais ils se foutent pas de ma tronche par hasard .... si je n’appelle pas personne ne me prévient ! Bon courage à ceux qui commanderont prochainement sur La Redoute !","28 mars 2019","Date de l'expérience:","Utile","Partager","1"
"AT","https://fr.trustpilot.com/users/5a5e10620000ff000b01a9c2","Agathe Tainturier","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","28 mars 2019","https://fr.trustpilot.com/reviews/5c9c99aca843690a5401bf91","Je donne une étoile car je ne peux pas…","Je donne une étoile car je ne peux pas donner zéro.J'ai effectuer une commande il y a 1 mois et demi pour un buffet j'ai appelé plusieurs fois le service client pour informer que le buffet n'avait pas été livré, le service me dit de ne pas m'inquiéter que le colis va arriver et la après 1 mois et demi d'attente je vois que la livraison a été refusée ce jour alors qu'aucun transporteur n'est venu. J'ai appelé le service client qui m'a proposé de repasser la commande LOL ! 'est une honte pour la redoute et pour relais colis, deux sociétés plus qu'inutile","28 mars 2019","Date de l'expérience:","Utile","Partager","1"
"TH","https://fr.trustpilot.com/users/5c9c803ebce74c7572c45ec4","Th","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","28 mars 2019","https://fr.trustpilot.com/reviews/5c9c8041a8436909e0295357","Absolument nul à éviter à tout prix","J’ai reçu à deux différentes reprises des produits complètement à l’opposé de ce que j’ai commandé...!!! Le service client ne veut rien savoir... alors qu’ils ont les produits en stock... c’est d’un nulissime sans nom !!!","28 mars 2019","Date de l'expérience:","Utile","Partager","1"
"AT","https://fr.trustpilot.com/users/5c9b4df5bce74c3c42c2dcd2","Atef","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 mars 2019","https://fr.trustpilot.com/reviews/5c9b4df797afa104d4e6a2bd","Site hors du temps","Site à éviter les délais de traitement très long,des informations contradictoires de la part du service client.très très mauvaise expérience!","27 mars 2019","Date de l'expérience:","Utile","Partager","1"
"MH","https://fr.trustpilot.com/users/5c9b2607bce74c27b4c2a613","Michel Hamon","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 mars 2019","https://fr.trustpilot.com/reviews/5c9b260997afa10a5cf040ce","Encore des canapés AMPM","J'ai commandé 4 canapés le 28 novembre dernier pour 4 studios à meubler et mis en location. Je devais les recevoir début février. Le 7 février, je reçois un mail me disant que je serai livré dans les jours qui suivent.Le 11 février, je reçois un autre email me disant que la commande a été renvoyé et que j'allais être remboursé ! Sans aucune explication et avec un ""Nous sommes désolés pour ce contre temps""...Entre temps ma décoratrice et moi avions déjà choisi un carrelage accordé aux couleurs des canapés. Ce carrelage est posé. J'ai du recommandé 4 canapés chez un concurrent en refaisant le travail de sélection en essayant de s'accorder au plus près des carrelage...Je ne recevrai pas les nouveaux canapés avant début juin ! Trois mois de délais et autant de loyers qui ne rentrent pas.Le pire est que 50 jours plus tard, je ne suis toujours pas remboursé de la totalité de ma commande ! La Redoute m’envoie toute un ribambelle de petits chèques qui ne correspondent en montant à rien de commandé. Il manque encore plus de 2000 € de remboursement et ils me disent qu'ils m'ont envoyé la totalité et que je dois encore attendre avant de faire une réclamation pour chèque perdus....! Et encore du ""Nous sommes désolés pour ce contre temps""... Pourquoi envoyer des chèques alors que l'on peut faire un seul et unique virement bancaire sécurisé ?Service client nul ! Service comptabilité d'un autre temps! Ils m'ont causé une perte d'argent important et continue à me faire poireauter pour le remboursement.S'ils sont eu des problèmes de fiabilité de leur canapé d'un de leur fournisseur, ce n'est pas à nous client d'en pâtir !Plutôt qu'une étoile, c'est 5 étoiles en négatif qu'ils méritent.","27 mars 2019","Date de l'expérience:","Utile","Partager","1"
"DE","https://fr.trustpilot.com/users/55785f7e0000ff0001c51056","DE90","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","26 mars 2019","https://fr.trustpilot.com/reviews/5c9a58c297afa10aa0fe5694","J'ai commandé 2 canapés depuisle…","J'ai commandé 2 canapés depuisle 18/12/18,  nous sommes le 26/03/19 et je ne les ai toujours pas reçus. Le 4/03/19, on m'a dit qu'ils seraient livrés à la fin du mois et aujourd'hui, ils n'ont toujours pas de nouvelles de leur fournisseur...c'est honteux. Je suis toujours à la case départ. Ce n'est plus tolérable d'attendre encore. Je ne recommande pas la redoute pour de gros articles; ils manquent profondément de sérieux.","26 mars 2019","Date de l'expérience:","Utile","Partager","1"
"TP","https://fr.trustpilot.com/users/5c9906cdd2f45258696581ff","B","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 mars 2019","https://fr.trustpilot.com/reviews/5c9906ce97afa10b449d8a15","Service livraison déplorable","Bonjour,J'ai commandé un canapé convertible le 28/01. Avant de finaliser la commande, il était écrit sur le site que le délai de livraison était de 2/3 semaines ce qui amenait à la semaine du 18 février maximum. Une fois la commande passée, la livraison était prévue entre le 13 et 16 mars. Jusqu'à cela ne me posait pas de problème car j'avais pris un peu de marge.Par contre, nous sommes le 25 mars et je n'ai toujours pas été livrée. J'ai appelé des dizaines de fois le service client qui est incapable de me dire plus sur la date de livraison.On me propose un dédommagement de 100e alors j'ai déjà 10j de retard et que je ne sais pas encore quand je serai livrée.C'est totalement inadmissible compte tenu du prix de la commande.Je ne commanderai plus jamais chez vous et je n'encourage personne à le faire...Service complètement pourri...","25 mars 2019","Date de l'expérience:","Utile","Partager",""
"NA","https://fr.trustpilot.com/users/56af412c0000ff000a01cbb3","Nathalie","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 mars 2019","https://fr.trustpilot.com/reviews/5c97aae397afa10aa0fd3c7b","Service après vente déplorable","Service après vente déplorable J ai commandé une table reçue cassée que j ai retourné puis recommandé puis jamais livré. J ai donc tout annulé et deux mois après je n ai ni table ni remboursement. Et bien sûr Sofinco qui continue à réclamer des intérêts sur des commandes jamais livrées. L enfer La redoute a fuir !!!!!","24 mars 2019","Date de l'expérience:","Utile","Partager",""
"CH","https://fr.trustpilot.com/users/5c9791f2d8999a01a74978cf","Chris","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 mars 2019","https://fr.trustpilot.com/reviews/5c9791f397afa10308cbd717","Nous avons commandé un canapé bz sur le…","Nous avons commandé un canapé bz sur le site de la redoute il y a 2 mois, nous ne l'avons jamais reçu!Après avoir validé une date de livraison, les livreurs ont décidé de changer cette dernière 2 jours avant. Nous avons expliqué que ce n'était pas possible pour nous, rien à faire, aucune réponse. Ils ont imposé une deuxième date de livraison sans nous concerter, en pleine journée. Nous avons indiqué une deuxième fois que nous ne pouvions pas être présent. Ils sont quand même venu, mais 1.5 heure avant l'heure de livraison.Malgré une dizaine d'appels à la redoute, des promesses de rappel jamais honorées, nous n'avons jamais été livré.Le colis est retourné chez La redoute et le site nous invite à recommander le produit.Nous commandons régulièrement sur internet, c'est la première fois que je vois un tel service, c'est une honte!Je déconseille très fortement de commander sur La Redoute!","24 mars 2019","Date de l'expérience:","Utile","Partager",""
"F.","https://fr.trustpilot.com/users/5ab2783c4de5666d344ff080","F.D.","6 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 mars 2019","https://fr.trustpilot.com/reviews/5c977e5997afa10bb875f771","Nous avons commandé un BZ relativement…","Nous avons commandé un BZ relativement cher mais bénéficiant des Soldes. Nous avons eu le droit à 2 mois d'attente pour la livraison. A l'arrivée et au déballage du colis nous avons monté le BZ en nous rendant compte que la structure avait déjà servie et que surtout la housse présentait des traces d'usure de longue date. Je déconseille vivement ce site qui livre des objets d'occasion !!!! Et la cerise sur le gateau : impossible de laisser un commentaire sur le site.","24 mars 2019","Date de l'expérience:","Utile","Partager",""
"SM","https://fr.trustpilot.com/users/5c96373592f8d460f7f8bdf3","Stephane Martin-rosset","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","23 mars 2019","https://fr.trustpilot.com/reviews/5c96377897afa10bb875a5d4","Problème de facture","J’ai commandé en mars 2019 un bureau pour les locaux professionnel de mon mari, c donc lui qui paye avec sa carte de son compre pro ,première surprise au moment de la commande aucune mention de la facture ( sur d’autres sites internet on nous demande de choisir l’adresse de facturation). Je passe quand même la commande et la je reçois un mail avec la facture a mon nom....je les appelle ( numéro surtaxé évidemment) et la standardiste me répond très naturellement que l’on ne peut pas modifier le nom sur la facture...donc ils ne peuvent pas editer une facture au nom de la personne qui a payé ( mon mari !) .Je vais retourner évidement le bureau dès que je l’aurai reçu ,je trouve ça étonnant pour un site tel que La redoute d’etre incapable de repondre a des demandes si simple!","23 mars 2019","Date de l'expérience:","Utile","Partager",""
"JU","https://fr.trustpilot.com/users/5c7d4022c3802f5dbf7f61b6","Juliette","2 avis","ES","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","20 mars 2019","https://fr.trustpilot.com/reviews/5c9252f197afa10aa0fb6b05","Service après-vente absolument…","Service après-vente absolument déplorable. J'ai commandé pour plus de 6000€ de mobilier sur le site dont un dressing modulable AMPM (pas donné) il y a plus d'un mois. Les équerres ne sont toujours pas arrivées à ce jour, le colis était soit-disant défectueux, il est donc retourné à l'envoyeur, je dois les harceler pour avoir la moindre information (les informations ne sont pas mises à jour sur le site) les personnes au téléphone n'ont pas plus d'information à me donner. Aux dernières nouvelles je dois recommander les équerres (sans avoir été au préalable remboursée) pour une livraison au mieux dans 5 semaines noté sur la page de mon panier (sur la page livraison, il est noté une livraison au mois d'Août...) donc au final je vais surement tout renvoyer et acheter le dressing ailleurs en espérant tomber sur des personnes plus professionnelles. Je vous déconseille fortement le site La Redoute, le service est lamentable et non professionnel.","20 mars 2019","Date de l'expérience:","Utile","Partager",""
"DJ","https://fr.trustpilot.com/users/55376e1a0000ff0001ba01e8","Djone","19 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 mars 2019","https://fr.trustpilot.com/reviews/5c90f70697afa10a00530652","E-commerce tout numérique et robotisé…","E-commerce tout numérique et robotisé (bizness et rentabilité obligent, au détriment du client). Première et dernière expérience. Le vendeur marketplace ""Galerie Chic"" n'ayant pas tenu compte du nom du destinataire différent du nôtre (l'acheteur)...Parfait pour un cadeau avec notre facture à l'intérieur...!!! Le colis arrivé en point relais ne pouvait être remis au destinataire... Aucun suivi de commande sms ou mail, aucune réponse de ce vendeur à nos réclamations.... A fuirCommande n°20190720677067 du 14/03/2019","19 mars 2019","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/5c8cffdce38f495ae575832b","Chloé C.","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","16 mars 2019","https://fr.trustpilot.com/reviews/5c8cffef97afa10a488c70c4","A FUIR!! LA REDOUTE DES VOLEURS/MENTEURS","Après une commande passé le 29/01/19 d’un lit et pour une livraison estimée pour le 11/02/19Nous sommes le 16/03/19 et toujours aucune nouvelles!! On a beau essayer de les joindre 10000x c’est toujours le même problème, par contre le lit a bien était déduit de notre compte, bien entendu!Le 4/03/19 le transporteur nous appel pour fixer un RDV le 9/03/19. Avec quand même 1 MOIS de retard. Bref. On a attend toute la matinée, aucun livreur. On appelle le service la redoute en expliquant les circonstances, on nous dit qu’on a mal compris la prise de rendez vous (mais bien sure!!!) et que ça aller être pour le 16/03/19. Bien entendu, on a attendu toute la matinée, en vain, car on a pas vu la trace d’un lit.Je re appel le service LA REDOUTE et là le malheur!! « Madame C, notre transporteur nous a dit qu’il a essayé de vous joindre le 9/03/19 et sans aucune nouvelle de votre part, le lit et repartie dans notre entrepôt. Malheureusement, le lit n’est plus en stock pour le moment » COMME PAR HASARD!!! J’ai beau être cliente depuis des années, c’est terminé!!Service désastreux avec personnel INCOMPÉTENT !! Ils peuvent s’excuser au tel c’est du n’importe quoi!!!!! A fuir!!!!!","16 mars 2019","Date de l'expérience:","Utile","Partager",""
